Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
verificar atendimento,emergência,precisar ajuda atendente a o disposição,Informações,verificar atendimento,b-serviço b-atendimento b-tempo,confuso,informação
obter informação solicitar,cancelamento,contato por o xx xxxx-xxxx,Cancelamento,obter informação solicitar,b-serviço b-tempo,frustrar,cancelamento
telefone consultar,cancelamento,horário cancelamento 8h a o 18h,Documentação,telefone consultar,b-doc b-doc,neutro,documentação
telefone agendar,informação,informação acer portal serviço,Encaminhamento,telefone agendar,b-atendimento b-doc,neutro,encaminhamento
preciso ajuda cadastrar,cancelamento,encontrar informação cancelamento site,Emergência,preciso ajudar cadastrar,b-serviço b-serviço,frustrar,emergência
caso emergência,informação,horário informação 8h a o 18h,Cancelamento,caso emergência,b-atendimento b-doc b-doc,confuso,cancelamento
telefone obter informação,contato,contato acer portal serviço,Encaminhamento,telefone obter informação,b-atendimento b-tempo b-doc,frustrar,encaminhamento
telefone verificar,agendamento,agendamento disponível em o unidade,Informações,telefone verificar,b-atendimento b-atendimento,neutro,informação
telefone obter informação,contato,contato por o xx xxxx-xxxx,Informações,telefone obter informação,b-doc b-serviço b-serviço,neutro,informação
preciso ajuda verificar,agendamento,agendamento levar documento b.,Cancelamento,preciso ajudar verificar,b-atendimento b-doc,frustrar,cancelamento
documento necessário obter informação,serviço y,contato por o xx xxxx-xxxx,Encaminhamento,documento necessário obter informação,b-serviço b-doc b-serviço b-tempo,urgente,encaminhamento
telefone agendar,emergência,caso emergência dirijar se a o atendimento presencial,Contato,telefone agendar,b-doc b-atendimento,urgente,contato
preciso ajuda cadastrar,emergência,horário emergência 8h a o 18h,Encaminhamento,preciso ajudar cadastrar,b-serviço b-doc,frustrar,encaminhamento
haver verificar presencial,contato,contato disponível em o unidade,Encaminhamento,haver verificar presencial,b-doc,urgente,encaminhamento
cancelar atendimento,agendamento,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-tempo b-atendimento,confuso,informação
obter informação solicitar,cancelamento,cancelar contato por o portal,Encaminhamento,obter informação solicitar,b-atendimento b-tempo,confuso,encaminhamento
encontrar informação consultar,serviço x,serviço x disponível em o unidade,Encaminhamento,encontrar informação consultar,b-tempo b-serviço b-doc,urgente,encaminhamento
preciso ajuda consultar,emergência,contato por o xx xxxx-xxxx,Informações,preciso ajudar consultar,b-doc b-tempo,urgente,informação
haver consultar presencial,serviço y,cancelar contato por o portal,Informações,haver consultar presencial,b-doc,neutro,informação
haver solicitar presencial,serviço y,contato por o xx xxxx-xxxx,Contato,haver solicitar presencial,b-doc,confuso,contato
obter informação agendar,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,obter informação agendar,b-atendimento b-serviço,frustrar,encaminhamento
consultar atendimento,serviço y,cancelar contato por o portal,Cancelamento,consultar atendimento,b-serviço b-serviço b-doc,confuso,cancelamento
encontrar informação consultar,emergência,precisar ajuda atendente a o disposição,Encaminhamento,encontrar informação consultar,b-tempo b-doc b-atendimento,neutro,encaminhamento
obter informação verificar,encaminhamento,encontrar informação encaminhamento site,Documentação,obter informação verificar,b-doc b-doc,neutro,documentação
haver solicitar presencial,encaminhamento,caso emergência dirijar se a o atendimento presencial,Emergência,haver solicitar presencial,b-tempo,neutro,emergência
obter informação cadastrar,informação,informação disponível em o unidade,Cancelamento,obter informação cadastrar,b-doc b-tempo,neutro,cancelamento
horário agendar,agendamento,agendamento acer portal serviço,Contato,horário agendar,b-doc b-atendimento,neutro,contato
haver consultar presencial,serviço y,serviço y levar documento b.,Emergência,haver consultar presencial,b-doc,urgente,emergência
documento necessário obter informação,emergência,precisar ajuda atendente a o disposição,Documentação,documento necessário obter informação,b-serviço b-atendimento b-doc b-atendimento,confuso,documentação
preciso ajuda agendar,serviço y,cancelar contato por o portal,Informações,preciso ajudar agendar,b-atendimento b-atendimento,neutro,informação
encontrar informação solicitar,serviço y,encontrar informação serviço y site,Documentação,encontrar informação solicitar,b-atendimento b-tempo b-serviço,confuso,documentação
encontrar informação solicitar,informação,caso emergência dirijar se a o atendimento presencial,Emergência,encontrar informação solicitar,b-doc b-doc b-doc,neutro,emergência
encontrar informação agendar,encaminhamento,atendimento presencial,Encaminhamento,encontrar informação agendar,b-atendimento b-atendimento b-atendimento,neutro,encaminhamento
haver solicitar presencial,agendamento,agendamento disponível em o unidade,Encaminhamento,haver solicitar presencial,b-tempo,neutro,encaminhamento
obter informação obter informação,emergência,caso emergência dirijar se a o atendimento presencial,Encaminhamento,obter informação obter informação,b-atendimento b-serviço b-tempo,urgente,encaminhamento
encontrar informação solicitar,agendamento,precisar ajuda atendente a o disposição,Cancelamento,encontrar informação solicitar,b-doc b-tempo b-tempo,frustrar,cancelamento
haver consultar presencial,emergência,emergência disponível em o unidade,Informações,haver consultar presencial,b-tempo,urgente,informação
solicitar atendimento,informação,horário informação 8h a o 18h,Cancelamento,solicitar atendimento,b-tempo b-doc b-atendimento,confuso,cancelamento
obter informação atendimento,cancelamento,atendimento presencial,Cancelamento,obter informação atendimento,b-serviço b-serviço b-tempo b-atendimento,neutro,cancelamento
haver cadastrar presencial,serviço y,encontrar informação serviço y site,Contato,haver cadastrar presencial,b-serviço,urgente,contato
obter informação verificar,contato,precisar ajuda atendente a o disposição,Informações,obter informação verificar,b-atendimento b-tempo,neutro,informação
horário agendar,serviço y,serviço y disponível em o unidade,Cancelamento,horário agendar,b-tempo b-atendimento,neutro,cancelamento
encontrar informação obter informação,cancelamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,encontrar informação obter informação,b-tempo b-atendimento b-doc b-doc,neutro,cancelamento
caso emergência,encaminhamento,contato por o xx xxxx-xxxx,Contato,caso emergência,b-tempo b-atendimento b-serviço,neutro,contato
encontrar informação cadastrar,encaminhamento,cancelar contato por o portal,Cancelamento,encontrar informação cadastrar,b-doc b-doc b-doc,neutro,cancelamento
haver solicitar presencial,cancelamento,cancelamento disponível em o unidade,Cancelamento,haver solicitar presencial,b-tempo,neutro,cancelamento
obter informação verificar,serviço x,serviço x acer portal serviço,Contato,obter informação verificar,b-tempo b-tempo,frustrar,contato
documento necessário agendar,contato,precisar ajuda atendente a o disposição,Documentação,documento necessário agendar,b-atendimento b-tempo b-atendimento,neutro,documentação
preciso ajuda verificar,serviço y,precisar ajuda atendente a o disposição,Emergência,preciso ajudar verificar,b-doc b-doc,neutro,emergência
consultar atendimento,contato,contato acer portal serviço,Informações,consultar atendimento,b-tempo b-tempo b-serviço,neutro,informação
obter informação consultar,serviço x,serviço x disponível em o unidade,Encaminhamento,obter informação consultar,b-serviço b-atendimento,frustrar,encaminhamento
caso emergência,contato,contato disponível em o unidade,Cancelamento,caso emergência,b-tempo b-doc b-serviço,neutro,cancelamento
telefone cadastrar,encaminhamento,encontrar informação encaminhamento site,Documentação,telefone cadastrar,b-doc b-tempo,neutro,documentação
encontrar informação solicitar,informação,precisar ajuda atendente a o disposição,Documentação,encontrar informação solicitar,b-atendimento b-doc b-doc,neutro,documentação
encontrar informação verificar,cancelamento,encontrar informação cancelamento site,Cancelamento,encontrar informação verificar,b-atendimento b-tempo b-doc,neutro,cancelamento
documento necessário consultar,serviço x,contato por o xx xxxx-xxxx,Encaminhamento,documento necessário consultar,b-doc b-doc b-tempo,frustrar,encaminhamento
cadastrar atendimento,cancelamento,precisar ajuda atendente a o disposição,Documentação,cadastrar atendimento,b-tempo b-tempo b-serviço,neutro,documentação
caso emergência,serviço x,cancelar contato por o portal,Informações,caso emergência,b-serviço b-doc b-serviço,neutro,informação
haver consultar presencial,informação,precisar ajuda atendente a o disposição,Emergência,haver consultar presencial,b-tempo,confuso,emergência
cancelar atendimento,informação,atendimento presencial,Contato,cancelar atendimento,b-tempo b-atendimento,neutro,contato
horário consultar,encaminhamento,cancelar contato por o portal,Encaminhamento,horário consultar,b-serviço b-atendimento,neutro,encaminhamento
horário agendar,encaminhamento,encaminhamento disponível em o unidade,Emergência,horário agendar,b-serviço b-tempo,confuso,emergência
cadastrar atendimento,cancelamento,cancelar contato por o portal,Informações,cadastrar atendimento,b-doc b-tempo b-tempo,neutro,informação
caso emergência,agendamento,agendamento disponível em o unidade,Documentação,caso emergência,b-serviço b-serviço b-doc,urgente,documentação
obter informação agendar,cancelamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,obter informação agendar,b-tempo b-serviço,neutro,cancelamento
caso emergência,agendamento,encontrar informação agendamento site,Contato,caso emergência,b-atendimento b-tempo b-serviço,confuso,contato
telefone verificar,encaminhamento,encaminhamento acer portal serviço,Emergência,telefone verificar,b-atendimento b-tempo,urgente,emergência
cancelar atendimento,agendamento,atendimento presencial,Cancelamento,cancelar atendimento,b-atendimento b-tempo,neutro,cancelamento
haver verificar presencial,informação,caso emergência dirijar se a o atendimento presencial,Emergência,haver verificar presencial,b-atendimento,neutro,emergência
cancelar atendimento,informação,precisar ajuda atendente a o disposição,Cancelamento,cancelar atendimento,b-serviço b-atendimento,confuso,cancelamento
telefone cadastrar,informação,atendimento presencial,Cancelamento,telefone cadastrar,b-atendimento b-atendimento,frustrar,cancelamento
telefone verificar,serviço x,encontrar informação serviço x site,Cancelamento,telefone verificar,b-doc b-serviço,urgente,cancelamento
obter informação obter informação,cancelamento,cancelar contato por o portal,Documentação,obter informação obter informação,b-atendimento b-atendimento b-serviço,confuso,documentação
telefone agendar,agendamento,agendamento acer portal serviço,Contato,telefone agendar,b-tempo b-doc,urgente,contato
documento necessário consultar,serviço y,precisar ajuda atendente a o disposição,Informações,documento necessário consultar,b-atendimento b-tempo b-atendimento,frustrar,informação
documento necessário consultar,cancelamento,cancelamento disponível em o unidade,Emergência,documento necessário consultar,b-doc b-tempo b-doc,urgente,emergência
telefone consultar,serviço x,horário serviço x 8h a o 18h,Informações,telefone consultar,b-tempo b-serviço,confuso,informação
horário verificar,cancelamento,cancelar contato por o portal,Cancelamento,horário verificar,b-serviço b-tempo,neutro,cancelamento
encontrar informação solicitar,contato,contato acer portal serviço,Informações,encontrar informação solicitar,b-doc b-doc b-tempo,frustrar,informação
preciso ajuda consultar,encaminhamento,encontrar informação encaminhamento site,Informações,preciso ajudar consultar,b-doc b-tempo,neutro,informação
caso emergência,agendamento,cancelar contato por o portal,Contato,caso emergência,b-serviço b-serviço b-serviço,neutro,contato
obter informação atendimento,informação,informação disponível em o unidade,Informações,obter informação atendimento,b-doc b-doc b-atendimento b-atendimento,confuso,informação
horário cadastrar,informação,contato por o xx xxxx-xxxx,Informações,horário cadastrar,b-atendimento b-serviço,urgente,informação
cancelar atendimento,serviço x,serviço x levar documento b.,Encaminhamento,cancelar atendimento,b-doc b-serviço,neutro,encaminhamento
haver verificar presencial,informação,precisar ajuda atendente a o disposição,Cancelamento,haver verificar presencial,b-serviço,frustrar,cancelamento
preciso ajuda verificar,encaminhamento,encaminhamento levar documento b.,Documentação,preciso ajudar verificar,b-atendimento b-serviço,confuso,documentação
horário agendar,agendamento,precisar ajuda atendente a o disposição,Emergência,horário agendar,b-serviço b-atendimento,confuso,emergência
cancelar atendimento,agendamento,agendamento levar documento b.,Emergência,cancelar atendimento,b-atendimento b-atendimento,urgente,emergência
haver cadastrar presencial,serviço x,serviço x levar documento b.,Informações,haver cadastrar presencial,b-serviço,neutro,informação
caso emergência,emergência,cancelar contato por o portal,Encaminhamento,caso emergência,b-atendimento b-atendimento b-serviço,confuso,encaminhamento
encontrar informação agendar,agendamento,atendimento presencial,Cancelamento,encontrar informação agendar,b-serviço b-atendimento b-tempo,neutro,cancelamento
consultar atendimento,emergência,cancelar contato por o portal,Emergência,consultar atendimento,b-tempo b-serviço b-tempo,frustrar,emergência
cancelar atendimento,agendamento,atendimento presencial,Cancelamento,cancelar atendimento,b-tempo b-atendimento,neutro,cancelamento
encontrar informação solicitar,contato,contato levar documento b.,Cancelamento,encontrar informação solicitar,b-tempo b-tempo b-atendimento,neutro,cancelamento
consultar atendimento,contato,contato por o xx xxxx-xxxx,Informações,consultar atendimento,b-serviço b-doc b-atendimento,confuso,informação
preciso ajuda obter informação,emergência,encontrar informação emergência site,Informações,preciso ajudar obter informação,b-tempo b-doc b-tempo,frustrar,informação
horário consultar,cancelamento,cancelar contato por o portal,Encaminhamento,horário consultar,b-serviço b-tempo,confuso,encaminhamento
preciso ajuda obter informação,cancelamento,encontrar informação cancelamento site,Cancelamento,preciso ajudar obter informação,b-atendimento b-serviço b-tempo,urgente,cancelamento
telefone agendar,agendamento,agendamento acer portal serviço,Informações,telefone agendar,b-doc b-doc,neutro,informação
cancelar atendimento,informação,caso emergência dirijar se a o atendimento presencial,Encaminhamento,cancelar atendimento,b-doc b-serviço,neutro,encaminhamento
horário cadastrar,agendamento,agendamento disponível em o unidade,Emergência,horário cadastrar,b-doc b-doc,neutro,emergência
cancelar atendimento,encaminhamento,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-doc b-serviço,neutro,informação
telefone obter informação,serviço x,serviço x acer portal serviço,Informações,telefone obter informação,b-atendimento b-serviço b-serviço,neutro,informação
encontrar informação consultar,serviço x,atendimento presencial,Cancelamento,encontrar informação consultar,b-atendimento b-doc b-doc,confuso,cancelamento
haver obter informação presencial,emergência,cancelar contato por o portal,Informações,haver obter informação presencial,b-tempo b-doc,frustrar,informação
horário verificar,cancelamento,precisar ajuda atendente a o disposição,Contato,horário verificar,b-serviço b-serviço,confuso,contato
obter informação verificar,contato,contato por o xx xxxx-xxxx,Emergência,obter informação verificar,b-tempo b-atendimento,confuso,emergência
agendar atendimento,emergência,contato por o xx xxxx-xxxx,Informações,agendar atendimento,b-tempo b-atendimento b-serviço,neutro,informação
obter informação atendimento,informação,informação acer portal serviço,Informações,obter informação atendimento,b-atendimento b-atendimento b-atendimento b-doc,frustrar,informação
documento necessário consultar,agendamento,contato por o xx xxxx-xxxx,Informações,documento necessário consultar,b-serviço b-serviço b-atendimento,confuso,informação
telefone cadastrar,serviço x,encontrar informação serviço x site,Contato,telefone cadastrar,b-serviço b-doc,confuso,contato
haver consultar presencial,contato,cancelar contato por o portal,Informações,haver consultar presencial,b-atendimento,urgente,informação
cancelar atendimento,contato,precisar ajuda atendente a o disposição,Informações,cancelar atendimento,b-tempo b-atendimento,neutro,informação
horário agendar,encaminhamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,horário agendar,b-tempo b-tempo,urgente,encaminhamento
cancelar atendimento,encaminhamento,horário encaminhamento 8h a o 18h,Documentação,cancelar atendimento,b-doc b-atendimento,neutro,documentação
documento necessário solicitar,emergência,cancelar contato por o portal,Encaminhamento,documento necessário solicitar,b-doc b-atendimento b-doc,neutro,encaminhamento
documento necessário consultar,cancelamento,caso emergência dirijar se a o atendimento presencial,Informações,documento necessário consultar,b-tempo b-atendimento b-serviço,confuso,informação
horário agendar,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,horário agendar,b-tempo b-serviço,frustrar,encaminhamento
cancelar atendimento,emergência,emergência levar documento b.,Informações,cancelar atendimento,b-atendimento b-doc,confuso,informação
horário agendar,informação,precisar ajuda atendente a o disposição,Informações,horário agendar,b-doc b-atendimento,neutro,informação
consultar atendimento,serviço y,atendimento presencial,Contato,consultar atendimento,b-tempo b-doc b-atendimento,frustrar,contato
consultar atendimento,contato,atendimento presencial,Informações,consultar atendimento,b-doc b-doc b-atendimento,urgente,informação
agendar atendimento,serviço y,precisar ajuda atendente a o disposição,Informações,agendar atendimento,b-atendimento b-atendimento b-tempo,confuso,informação
caso emergência,informação,atendimento presencial,Informações,caso emergência,b-atendimento b-tempo b-doc,urgente,informação
preciso ajuda verificar,emergência,caso emergência dirijar se a o atendimento presencial,Cancelamento,preciso ajudar verificar,b-doc b-doc,neutro,cancelamento
cadastrar atendimento,agendamento,encontrar informação agendamento site,Cancelamento,cadastrar atendimento,b-atendimento b-tempo b-atendimento,neutro,cancelamento
obter informação agendar,serviço y,contato por o xx xxxx-xxxx,Informações,obter informação agendar,b-doc b-tempo,neutro,informação
documento necessário verificar,contato,contato disponível em o unidade,Encaminhamento,documento necessário verificar,b-atendimento b-atendimento b-doc,neutro,encaminhamento
documento necessário agendar,encaminhamento,encaminhamento disponível em o unidade,Documentação,documento necessário agendar,b-tempo b-atendimento b-tempo,frustrar,documentação
agendar atendimento,informação,atendimento presencial,Informações,agendar atendimento,b-serviço b-atendimento b-doc,urgente,informação
caso emergência,contato,atendimento presencial,Documentação,caso emergência,b-doc b-doc b-serviço,confuso,documentação
haver cadastrar presencial,informação,encontrar informação informação site,Cancelamento,haver cadastrar presencial,b-atendimento,neutro,cancelamento
documento necessário solicitar,serviço y,caso emergência dirijar se a o atendimento presencial,Informações,documento necessário solicitar,b-serviço b-serviço b-atendimento,frustrar,informação
obter informação solicitar,serviço y,serviço y levar documento b.,Encaminhamento,obter informação solicitar,b-tempo b-serviço,neutro,encaminhamento
obter informação verificar,agendamento,encontrar informação agendamento site,Contato,obter informação verificar,b-doc b-atendimento,neutro,contato
obter informação agendar,encaminhamento,encaminhamento levar documento b.,Documentação,obter informação agendar,b-serviço b-serviço,neutro,documentação
obter informação agendar,informação,cancelar contato por o portal,Informações,obter informação agendar,b-atendimento b-atendimento,neutro,informação
telefone agendar,encaminhamento,contato por o xx xxxx-xxxx,Documentação,telefone agendar,b-tempo b-doc,neutro,documentação
caso emergência,cancelamento,atendimento presencial,Cancelamento,caso emergência,b-serviço b-serviço b-serviço,urgente,cancelamento
haver consultar presencial,serviço x,serviço x disponível em o unidade,Documentação,haver consultar presencial,b-tempo,urgente,documentação
preciso ajuda obter informação,encaminhamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,preciso ajudar obter informação,b-serviço b-tempo b-atendimento,neutro,cancelamento
encontrar informação cadastrar,cancelamento,precisar ajuda atendente a o disposição,Contato,encontrar informação cadastrar,b-doc b-doc b-serviço,neutro,contato
preciso ajuda agendar,informação,cancelar contato por o portal,Informações,preciso ajudar agendar,b-doc b-atendimento,neutro,informação
documento necessário consultar,encaminhamento,cancelar contato por o portal,Documentação,documento necessário consultar,b-atendimento b-tempo b-tempo,urgente,documentação
caso emergência,agendamento,contato por o xx xxxx-xxxx,Emergência,caso emergência,b-doc b-serviço b-atendimento,frustrar,emergência
cancelar atendimento,emergência,atendimento presencial,Documentação,cancelar atendimento,b-tempo b-atendimento,confuso,documentação
cancelar atendimento,serviço y,serviço y disponível em o unidade,Emergência,cancelar atendimento,b-doc b-doc,neutro,emergência
horário cadastrar,cancelamento,cancelamento acer portal serviço,Informações,horário cadastrar,b-doc b-doc,confuso,informação
caso emergência,serviço y,atendimento presencial,Documentação,caso emergência,b-doc b-tempo b-atendimento,neutro,documentação
caso emergência,agendamento,cancelar contato por o portal,Informações,caso emergência,b-atendimento b-serviço b-tempo,frustrar,informação
documento necessário consultar,cancelamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,documento necessário consultar,b-doc b-atendimento b-tempo,urgente,encaminhamento
documento necessário agendar,encaminhamento,encaminhamento acer portal serviço,Emergência,documento necessário agendar,b-serviço b-doc b-atendimento,neutro,emergência
cancelar atendimento,emergência,atendimento presencial,Informações,cancelar atendimento,b-atendimento b-atendimento,confuso,informação
encontrar informação obter informação,cancelamento,cancelar contato por o portal,Informações,encontrar informação obter informação,b-serviço b-doc b-atendimento b-atendimento,neutro,informação
caso emergência,encaminhamento,cancelar contato por o portal,Encaminhamento,caso emergência,b-tempo b-atendimento b-tempo,confuso,encaminhamento
documento necessário verificar,cancelamento,cancelamento levar documento b.,Informações,documento necessário verificar,b-atendimento b-tempo b-atendimento,confuso,informação
obter informação cadastrar,agendamento,encontrar informação agendamento site,Informações,obter informação cadastrar,b-doc b-tempo,neutro,informação
obter informação cadastrar,cancelamento,cancelamento disponível em o unidade,Informações,obter informação cadastrar,b-tempo b-doc,urgente,informação
caso emergência,encaminhamento,encaminhamento levar documento b.,Contato,caso emergência,b-serviço b-serviço b-doc,urgente,contato
verificar atendimento,encaminhamento,encaminhamento disponível em o unidade,Cancelamento,verificar atendimento,b-atendimento b-atendimento b-atendimento,frustrar,cancelamento
preciso ajuda agendar,agendamento,atendimento presencial,Contato,preciso ajudar agendar,b-tempo b-serviço,frustrar,contato
horário cadastrar,serviço x,precisar ajuda atendente a o disposição,Cancelamento,horário cadastrar,b-doc b-tempo,neutro,cancelamento
caso emergência,serviço x,precisar ajuda atendente a o disposição,Informações,caso emergência,b-atendimento b-tempo b-serviço,neutro,informação
obter informação consultar,agendamento,precisar ajuda atendente a o disposição,Cancelamento,obter informação consultar,b-doc b-serviço,urgente,cancelamento
caso emergência,informação,cancelar contato por o portal,Informações,caso emergência,b-doc b-serviço b-serviço,frustrar,informação
telefone cadastrar,serviço x,horário serviço x 8h a o 18h,Cancelamento,telefone cadastrar,b-doc b-doc,confuso,cancelamento
haver cadastrar presencial,agendamento,atendimento presencial,Documentação,haver cadastrar presencial,b-atendimento,confuso,documentação
obter informação agendar,cancelamento,cancelamento acer portal serviço,Encaminhamento,obter informação agendar,b-atendimento b-tempo,confuso,encaminhamento
obter informação consultar,contato,encontrar informação contato site,Documentação,obter informação consultar,b-tempo b-tempo,neutro,documentação
horário obter informação,contato,horário contato 8h a o 18h,Informações,horário obter informação,b-serviço b-atendimento b-tempo,neutro,informação
documento necessário consultar,agendamento,agendamento disponível em o unidade,Emergência,documento necessário consultar,b-tempo b-serviço b-atendimento,confuso,emergência
telefone cadastrar,cancelamento,cancelamento acer portal serviço,Informações,telefone cadastrar,b-serviço b-doc,neutro,informação
agendar atendimento,emergência,atendimento presencial,Informações,agendar atendimento,b-serviço b-atendimento b-atendimento,confuso,informação
horário solicitar,informação,informação disponível em o unidade,Encaminhamento,horário solicitar,b-atendimento b-tempo,confuso,encaminhamento
cancelar atendimento,cancelamento,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-tempo b-atendimento,neutro,informação
preciso ajuda verificar,emergência,precisar ajuda atendente a o disposição,Encaminhamento,preciso ajudar verificar,b-serviço b-tempo,frustrar,encaminhamento
telefone verificar,contato,contato por o xx xxxx-xxxx,Informações,telefone verificar,b-serviço b-atendimento,neutro,informação
documento necessário cadastrar,agendamento,cancelar contato por o portal,Encaminhamento,documento necessário cadastrar,b-tempo b-tempo b-serviço,frustrar,encaminhamento
horário verificar,emergência,contato por o xx xxxx-xxxx,Contato,horário verificar,b-atendimento b-serviço,urgente,contato
obter informação obter informação,agendamento,agendamento acer portal serviço,Cancelamento,obter informação obter informação,b-atendimento b-doc b-tempo,neutro,cancelamento
preciso ajuda solicitar,serviço x,horário serviço x 8h a o 18h,Informações,preciso ajudar solicitar,b-tempo b-doc,urgente,informação
preciso ajuda obter informação,encaminhamento,cancelar contato por o portal,Informações,preciso ajudar obter informação,b-serviço b-atendimento b-tempo,neutro,informação
encontrar informação verificar,cancelamento,atendimento presencial,Cancelamento,encontrar informação verificar,b-serviço b-doc b-tempo,frustrar,cancelamento
haver solicitar presencial,informação,horário informação 8h a o 18h,Informações,haver solicitar presencial,b-atendimento,urgente,informação
caso emergência,agendamento,agendamento levar documento b.,Emergência,caso emergência,b-tempo b-serviço b-tempo,frustrar,emergência
encontrar informação solicitar,serviço x,encontrar informação serviço x site,Informações,encontrar informação solicitar,b-serviço b-tempo b-atendimento,neutro,informação
verificar atendimento,serviço y,atendimento presencial,Encaminhamento,verificar atendimento,b-tempo b-tempo b-tempo,frustrar,encaminhamento
caso emergência,agendamento,agendamento disponível em o unidade,Encaminhamento,caso emergência,b-serviço b-tempo b-serviço,confuso,encaminhamento
obter informação atendimento,serviço y,atendimento presencial,Informações,obter informação atendimento,b-tempo b-atendimento b-atendimento b-doc,neutro,informação
encontrar informação cadastrar,informação,contato por o xx xxxx-xxxx,Contato,encontrar informação cadastrar,b-atendimento b-tempo b-tempo,urgente,contato
encontrar informação solicitar,informação,precisar ajuda atendente a o disposição,Contato,encontrar informação solicitar,b-doc b-doc b-tempo,neutro,contato
haver agendar presencial,serviço y,serviço y acer portal serviço,Encaminhamento,haver agendar presencial,b-serviço,frustrar,encaminhamento
solicitar atendimento,contato,contato acer portal serviço,Encaminhamento,solicitar atendimento,b-tempo b-serviço b-atendimento,neutro,encaminhamento
encontrar informação obter informação,encaminhamento,encaminhamento disponível em o unidade,Cancelamento,encontrar informação obter informação,b-tempo b-tempo b-tempo b-doc,frustrar,cancelamento
encontrar informação verificar,emergência,emergência disponível em o unidade,Emergência,encontrar informação verificar,b-serviço b-doc b-atendimento,neutro,emergência
